event_pk,rn,date,work_area,organization,survey,sampling_bout,site,source,hakai_id,line_out_depth,ppm_c_doc,delta_13cvpdb_doc,analyzing_lab
374106,1,2017-05-11,CALVERT,HAKAI,ROCKY,2,ROCKY02,M,DO13C2148,0,2.033044444,-24.23,GGHATCH
374104,1,2017-05-11,CALVERT,HAKAI,ROCKY,3,ROCKY02,M,DO13C2154,0,3.034344444,-24.34,GGHATCH
374105,1,2017-05-11,CALVERT,HAKAI,ROCKY,1,ROCKY02,M,DO13C2155,0,2.254777778,-24.16,GGHATCH
374109,1,2017-05-12,CALVERT,HAKAI,ROCKY,2,ROCKY06,M,DO13C2149,0,1.012,-22.76,GGHATCH
374108,1,2017-05-12,CALVERT,HAKAI,ROCKY,1,ROCKY06,M,DO13C2150,0,1.249227778,-22.51,GGHATCH
374107,1,2017-05-12,CALVERT,HAKAI,ROCKY,3,ROCKY06,M,DO13C2151,0,0.912022222,-22.53,GGHATCH
374110,1,2017-05-14,CALVERT,HAKAI,ROCKY,3,ROCKY05,M,DO13C2252,0,0.923419444,-24.16,GGHATCH
374111,1,2017-05-14,CALVERT,HAKAI,ROCKY,2,ROCKY05,M,DO13C2253,0,0.985746667,-24.04,GGHATCH
374112,1,2017-05-14,CALVERT,HAKAI,ROCKY,1,ROCKY05,M,DO13C2254,0,0.945248333,-23.59,GGHATCH
293623,1,2017-05-18,CALVERT,HAKAI,KWAK_PP,1,PRUTH,M,DO13C2072,0,1.485166667,-24.23,GGHATCH
293623,1,2017-05-18,CALVERT,HAKAI,KWAK_PP,1,PRUTH,M,DO13C2073,5,1.4861,-24.35,GGHATCH
374113,1,2017-05-19,CALVERT,HAKAI,ROCKY,2,ROCKY04,M,DO13C2244,0,1.158381944,-23.07,GGHATCH
374114,1,2017-05-19,CALVERT,HAKAI,ROCKY,3,ROCKY04,M,DO13C2245,0,1.411122778,-24.99,GGHATCH
374115,1,2017-05-19,CALVERT,HAKAI,ROCKY,1,ROCKY04,M,DO13C2246,0,1.200588889,-23.15,GGHATCH
294642,1,2017-06-07,CALVERT,HAKAI,KWAK_PP,1,PRUTH,M,DO13C2088,0,1.576645,-24.35,GGHATCH
294642,1,2017-06-07,CALVERT,HAKAI,KWAK_PP,1,PRUTH,M,DO13C2087,5,1.42298,-23.93,GGHATCH
374116,1,2017-06-07,CALVERT,HAKAI,ROCKY,2,ROCKY02,M,DO13C2234,0,0.676695556,-26.02,GGHATCH
374117,1,2017-06-07,CALVERT,HAKAI,ROCKY,3,ROCKY02,M,DO13C2235,0,1.16325,-23.74,GGHATCH
374118,1,2017-06-07,CALVERT,HAKAI,ROCKY,1,ROCKY02,M,DO13C2240,0,1.487380278,-23.63,GGHATCH
374119,1,2017-06-08,CALVERT,HAKAI,ROCKY,1,ROCKY04,M,DO13C2227,0,1.360428056,-24.4,GGHATCH
374120,1,2017-06-08,CALVERT,HAKAI,ROCKY,3,ROCKY04,M,DO13C2232,0,1.204897222,-23.98,GGHATCH
374121,1,2017-06-08,CALVERT,HAKAI,ROCKY,2,ROCKY04,M,DO13C2233,0,1.783362778,-29.1,GGHATCH
374122,1,2017-06-09,CALVERT,HAKAI,ROCKY,1,ROCKY05,M,DO13C2224,0,1.155447222,-23.7,GGHATCH
374123,1,2017-06-09,CALVERT,HAKAI,ROCKY,3,ROCKY05,M,DO13C2225,0,1.297957222,-24.05,GGHATCH
374124,1,2017-06-09,CALVERT,HAKAI,ROCKY,2,ROCKY05,M,DO13C2226,0,1.284601389,-24.21,GGHATCH
374125,1,2017-06-23,CALVERT,HAKAI,ROCKY,3,ROCKY02,M,DO13C2217,0,1.089977778,-21.98,GGHATCH
374126,1,2017-06-23,CALVERT,HAKAI,ROCKY,2,ROCKY02,M,DO13C2218,0,1.271725,-21.45,GGHATCH
374127,1,2017-06-23,CALVERT,HAKAI,ROCKY,1,ROCKY02,M,DO13C2219,0,1.326577778,-21.36,GGHATCH
374128,1,2017-06-25,CALVERT,HAKAI,ROCKY,2,ROCKY04,M,DO13C2203,0,1.2012,-22.8,GGHATCH
374129,1,2017-06-25,CALVERT,HAKAI,ROCKY,1,ROCKY04,M,DO13C2208,0,1.292705556,-22.59,GGHATCH
374130,1,2017-06-25,CALVERT,HAKAI,ROCKY,3,ROCKY04,M,DO13C2210,0,1.079613889,-21.99,GGHATCH
307177,1,2017-06-28,CALVERT,HAKAI,KWAK_PP,1,PRUTH,M,DO13C2161,0,0.768011111,-22.53,GGHATCH
307177,1,2017-06-28,CALVERT,HAKAI,KWAK_PP,1,PRUTH,M,DO13C2162,5,0.773464444,-23.54,GGHATCH
374131,1,2017-06-28,CALVERT,HAKAI,ROCKY,3,ROCKY05,M,DO13C2209,0,0.848827778,-23.07,GGHATCH
374132,1,2017-06-28,CALVERT,HAKAI,ROCKY,1,ROCKY05,M,DO13C2211,0,1.063688889,-22.69,GGHATCH
374133,1,2017-06-28,CALVERT,HAKAI,ROCKY,2,ROCKY05,M,DO13C2216,0,1.020211111,-22.76,GGHATCH
374136,1,2017-06-30,CALVERT,HAKAI,ROCKY,2,ROCKY07,M,DO13C2200,0,1.006561111,-23.14,GGHATCH
374135,1,2017-06-30,CALVERT,HAKAI,ROCKY,3,ROCKY07,M,DO13C2201,0,0.981030556,-22.34,GGHATCH
374134,1,2017-06-30,CALVERT,HAKAI,ROCKY,1,ROCKY07,M,DO13C2202,0,0.878402778,-22.61,GGHATCH
374138,1,2017-07-01,CALVERT,HAKAI,ROCKY,3,ROCKY06,M,DO13C2190,0,1.060908333,-22.48,GGHATCH
374137,1,2017-07-01,CALVERT,HAKAI,ROCKY,1,ROCKY06,M,DO13C2191,0,1.238105556,-21.99,GGHATCH
374139,1,2017-07-01,CALVERT,HAKAI,ROCKY,2,ROCKY06,M,DO13C2197,0,1.175416667,-22.49,GGHATCH
374140,1,2017-07-07,CALVERT,HAKAI,ROCKY,1,ROCKY03,M,DO13C2189,0,1.214597222,-22.47,GGHATCH
374142,1,2017-07-07,CALVERT,HAKAI,ROCKY,3,ROCKY03,M,DO13C2198,0,0.922638889,-22.73,GGHATCH
374141,1,2017-07-07,CALVERT,HAKAI,ROCKY,2,ROCKY03,M,DO13C2205,0,0.676180556,-22.33,GGHATCH
312446,1,2017-07-21,CALVERT,HAKAI,KWAK_PP,1,PRUTH,M,DO13C2177,0,1.313644444,-22.29,GGHATCH
312446,1,2017-07-21,CALVERT,HAKAI,KWAK_PP,1,PRUTH,M,DO13C2179,5,1.21,-22.14,GGHATCH
374143,1,2017-08-08,CALVERT,HAKAI,ROCKY,2,ROCKY05,M,DO13C2196,0,0.496708333,-22.06,GGHATCH
374144,1,2017-08-08,CALVERT,HAKAI,ROCKY,3,ROCKY05,M,DO13C2207,0,0.926683333,-22.3,GGHATCH
374145,1,2017-08-08,CALVERT,HAKAI,ROCKY,1,ROCKY05,M,DO13C2212,0,0.998977778,-22.25,GGHATCH
374146,1,2017-08-10,CALVERT,HAKAI,ROCKY,1,ROCKY04,M,DO13C2204,0,0.805097222,-22.66,GGHATCH
374147,1,2017-08-10,CALVERT,HAKAI,ROCKY,3,ROCKY04,M,DO13C2220,0,0.907472222,-21.73,GGHATCH
374148,1,2017-08-10,CALVERT,HAKAI,ROCKY,2,ROCKY04,M,DO13C2228,0,1.149750556,-22.58,GGHATCH
374149,1,2017-08-11,CALVERT,HAKAI,ROCKY,3,ROCKY02,M,DO13C2213,0,1.459791667,-21.2,GGHATCH
374150,1,2017-08-11,CALVERT,HAKAI,ROCKY,2,ROCKY02,M,DO13C2215,0,0.908483333,-21.49,GGHATCH
374151,1,2017-08-11,CALVERT,HAKAI,ROCKY,1,ROCKY02,M,DO13C2255,0,1.327541111,-21.93,GGHATCH
315878,1,2017-08-13,CALVERT,HAKAI,KWAK_PP,4,PRUTH,M,DO13C2522,0,1.184073611,-23.28,GGHAATCH
315878,1,2017-08-13,CALVERT,HAKAI,KWAK_PP,4,PRUTH,M,DO13C2523,5,0.945535556,-23.33,GGHAATCH
321937,1,2017-08-30,CALVERT,HAKAI,KWAK_PP,3,PRUTH,M,DO13C2534,0,1.037427778,-24.65,GGHATCH
321937,1,2017-08-30,CALVERT,HAKAI,KWAK_PP,3,PRUTH,M,DO13C2535,5,1.086801111,-24.62,GGHATCH
374178,1,2017-09-17,CALVERT,HAKAI,ROCKY,1,ROCKY06,M,DO13C2222,0,1.267621412,-23.35,GGHATCH
374276,1,2017-09-17,CALVERT,HAKAI,ROCKY,2,ROCKY06,M,DO13C2223,0,1.455268912,-23.54,GGHATCH
513115,1,2017-09-17,CALVERT,HAKAI,ROCKY,3,ROCKY06,M,DO13C2247,0,1.468404237,-23.01,GGHATCH
374280,1,2017-09-18,CALVERT,HAKAI,ROCKY,3,ROCKY07,M,DO13C2195,0,,,
374179,1,2017-09-18,CALVERT,HAKAI,ROCKY,1,ROCKY07,M,DO13C2199,0,0.997204444,-23.03,GGHATCH
374282,1,2017-09-18,CALVERT,HAKAI,ROCKY,2,ROCKY07,M,DO13C2221,0,1.210451473,-23.52,GGHATCH
374286,1,2017-09-19,CALVERT,HAKAI,ROCKY,2,ROCKY03,M,DO13C2192,0,0.987077778,-23.03,GGHATCH
374180,1,2017-09-19,CALVERT,HAKAI,ROCKY,1,ROCKY03,M,DO13C2194,0,1.0192,-22.49,GGHATCH
513121,1,2017-09-19,CALVERT,HAKAI,ROCKY,3,ROCKY03,M,DO13C2214,0,0.960182222,-23.21,GGHATCH
342095,1,2017-09-20,CALVERT,HAKAI,KWAK_PP,4,PRUTH,M,DO13C2570,0,0.930893056,-23.98,GGHATCH
342095,1,2017-09-20,CALVERT,HAKAI,KWAK_PP,4,PRUTH,M,DO13C2571,5,0.975858056,-23.9,GGHATCH
348762,1,2017-10-11,CALVERT,HAKAI,KWAK_PP,3,PRUTH,M,DO13C2593,0,0.895773333,-23.66,GGHATCH
348762,1,2017-10-11,CALVERT,HAKAI,KWAK_PP,3,PRUTH,M,DO13C2594,5,0.856833056,-24.33,GGHATCH
513122,1,2017-11-16,CALVERT,HAKAI,ROCKY,3,ROCKY03,M,DO13C2241,0,1.276503393,-22.44,GGHATCH
374181,1,2017-11-16,CALVERT,HAKAI,ROCKY,1,ROCKY03,M,DO13C2242,0,1.523322405,-22.36,GGHATCH
374292,1,2017-11-16,CALVERT,HAKAI,ROCKY,2,ROCKY03,M,DO13C2243,0,1.337676478,-22.53,GGHATCH
513125,1,2017-11-17,CALVERT,HAKAI,ROCKY,3,ROCKY07,M,DO13C2193,0,0.850313333,-23.22,GGHATCH
374182,1,2017-11-17,CALVERT,HAKAI,ROCKY,1,ROCKY07,M,DO13C2206,0,0.908568889,-22.71,GGHATCH
374301,1,2017-11-17,CALVERT,HAKAI,ROCKY,2,ROCKY07,M,DO13C2239,0,1.039692248,-23.08,GGHATCH
513128,1,2017-11-18,CALVERT,HAKAI,ROCKY,3,ROCKY06,M,DO13C2251,0,6.499108613,-26.7,GGHATCH
374183,1,2017-11-18,CALVERT,HAKAI,ROCKY,1,ROCKY06,M,DO13C2258,0,6.32522193,-26.8,GGHATCH
374304,1,2017-11-18,CALVERT,HAKAI,ROCKY,2,ROCKY06,M,DO13C2259,0,6.686756113,-27.03,GGHATCH
360668,1,2017-12-02,CALVERT,HAKAI,KWAK_PP,2,PRUTH,M,DO13C2556,0,1.024986667,-24.96,GGHATCH
360668,1,2017-12-02,CALVERT,HAKAI,KWAK_PP,2,PRUTH,M,DO13C2557,5,0.978066667,-25.09,GGHATCH
364886,1,2018-01-13,CALVERT,HAKAI,KWAK_PP,4,PRUTH,M,DO13C2568,0,0.708786667,-24.33,GGHATCH
364886,1,2018-01-13,CALVERT,HAKAI,KWAK_PP,4,PRUTH,M,DO13C2569,5,0.71162,-24.03,GGHATCH
368606,1,2018-02-14,CALVERT,HAKAI,KWAK_PP,4,PRUTH,M,DO13C2826,0,0.915733333,-24.2,GGHATCH
368606,1,2018-02-14,CALVERT,HAKAI,KWAK_PP,4,PRUTH,M,DO13C2827,5,0.764546667,-24.06,GGHATCH
374084,1,2018-02-14,CALVERT,HAKAI,ROCKY,1,ROCKY03,M,DO13C2248,0,1.321413695,-22.41,GGHATCH
374312,1,2018-02-14,CALVERT,HAKAI,ROCKY,2,ROCKY03,M,DO13C2249,0,1.121131263,-22.31,GGHATCH
513133,1,2018-02-14,CALVERT,HAKAI,ROCKY,3,ROCKY03,M,DO13C2250,0,1.13414149,-21.62,GGHATCH
408544,1,2018-02-16,CALVERT,HAKAI,ROCKY,3,ROCKY07,M,DO13C2256,0,,,
408545,1,2018-02-16,CALVERT,HAKAI,ROCKY,2,ROCKY07,M,DO13C2257,0,,,
408544,2,2018-02-16,CALVERT,HAKAI,ROCKY,3,ROCKY07,M,DO13C2260,0,,,
513134,1,2018-02-16,CALVERT,HAKAI,ROCKY,3,ROCKY06,M,DO13C2261,0,1.2384735,-22.53,GGHATCH
374318,1,2018-02-16,CALVERT,HAKAI,ROCKY,2,ROCKY06,M,DO13C2262,0,1.221335028,-22.36,GGHATCH
374085,1,2018-02-16,CALVERT,HAKAI,ROCKY,1,ROCKY06,M,DO13C2263,0,1.312281517,-22.45,GGHATCH
374052,1,2018-02-25,CALVERT,HAKAI,ROCKY,1,ROCKY04,M,DO13C2264,0,1.14239798,-22.45,GGHATCH
374053,1,2018-02-25,CALVERT,HAKAI,ROCKY,2,ROCKY04,M,DO13C2265,0,1.072843307,-22.81,GGHATCH
374054,1,2018-02-25,CALVERT,HAKAI,ROCKY,3,ROCKY04,M,DO13C2266,0,0.987150948,-21.98,GGHATCH
371425,1,2018-02-26,CALVERT,HAKAI,ROCKY,1,ROCKY05,M,DO13C2267,0,1.006329412,-23.36,GGHATCH
371427,1,2018-02-26,CALVERT,HAKAI,ROCKY,3,ROCKY05,M,DO13C2268,0,0.937317431,-22.97,GGHATCH
371426,1,2018-02-26,CALVERT,HAKAI,ROCKY,2,ROCKY05,M,DO13C2269,0,0.950916477,-23.28,GGHATCH
374056,1,2018-02-28,CALVERT,HAKAI,ROCKY,2,ROCKY02,M,DO13C2270,0,0.978877132,-23.2,GGHATCH
374057,1,2018-02-28,CALVERT,HAKAI,ROCKY,3,ROCKY02,M,DO13C2271,0,0.975826879,-23.11,GGHATCH
374055,1,2018-02-28,CALVERT,HAKAI,ROCKY,1,ROCKY02,M,DO13C2272,0,0.979258414,-22.75,GGHATCH
374044,1,2018-03-20,CALVERT,HAKAI,ROCKY,2,ROCKY02,M,DO13C2273,0,0.995018056,-23.53,GGHATCH
374045,1,2018-03-20,CALVERT,HAKAI,ROCKY,3,ROCKY02,M,DO13C2274,0,0.977479099,-23.02,GGHATCH
374043,1,2018-03-20,CALVERT,HAKAI,ROCKY,1,ROCKY02,M,DO13C2275,0,0.981037728,-22.36,GGHATCH
374049,1,2018-03-21,CALVERT,HAKAI,ROCKY,1,ROCKY05,M,DO13C2276,0,1.078518741,-23.39,GGHATCH
374050,1,2018-03-21,CALVERT,HAKAI,ROCKY,2,ROCKY05,M,DO13C2277,0,0.944688876,-22.86,GGHATCH
374051,1,2018-03-21,CALVERT,HAKAI,ROCKY,3,ROCKY05,M,DO13C2278,0,0.949010068,-23.1,GGHATCH
374046,1,2018-03-22,CALVERT,HAKAI,ROCKY,1,ROCKY04,M,DO13C2279,0,0.924480948,-23.21,GGHATCH
374047,1,2018-03-22,CALVERT,HAKAI,ROCKY,2,ROCKY04,M,DO13C2280,0,0.978750038,-23.39,GGHATCH
374048,1,2018-03-22,CALVERT,HAKAI,ROCKY,3,ROCKY04,M,DO13C2292,0,0.952568697,-23.27,GGHATCH
374070,1,2018-03-24,CALVERT,HAKAI,QCS_V1,1,QCS01,M,DO13C2853,0,1.059745556,-23.23,GGHATCH
374070,1,2018-03-24,CALVERT,HAKAI,QCS_V1,1,QCS01,M,DO13C2854,5,1.033605,-22.46,GGHATCH
374070,1,2018-03-24,CALVERT,HAKAI,QCS_V1,1,QCS01,M,DO13C2855,10,0.977855,-22.91,GGHATCH
374731,1,2018-03-28,CALVERT,HAKAI,KWAK,2,PRUTH,M,DO13C2856,0,1.244711667,-22.83,GGHATCH
374731,1,2018-03-28,CALVERT,HAKAI,KWAK,2,PRUTH,M,DO13C2857,5,1.056028889,-22.53,GGHATCH
374731,1,2018-03-28,CALVERT,HAKAI,KWAK,2,PRUTH,M,DO13C2858,10,1.125778333,-22.51,GGHATCH
375268,1,2018-04-03,CALVERT,HAKAI,ROCKY,3,ROCKY02,M,DO13C2289,0,1.085886111,-23.06,GGHATCH
375267,1,2018-04-03,CALVERT,HAKAI,ROCKY,2,ROCKY02,M,DO13C2290,0,1.301328889,-23.59,GGHATCH
375266,1,2018-04-03,CALVERT,HAKAI,ROCKY,1,ROCKY02,M,DO13C2291,0,1.040418889,-23.02,GGHATCH
376152,1,2018-04-04,CALVERT,HAKAI,ROCKY,3,ROCKY05,M,DO13C2286,0,1.068293889,-23.27,GGHATCH
376150,1,2018-04-04,CALVERT,HAKAI,ROCKY,1,ROCKY05,M,DO13C2287,0,1.084151667,-23.25,GGHATCH
376151,1,2018-04-04,CALVERT,HAKAI,ROCKY,2,ROCKY05,M,DO13C2288,0,1.160715,-23.45,GGHATCH
376164,1,2018-04-05,CALVERT,HAKAI,ROCKY,1,ROCKY04,M,DO13C2283,0,1.1,-23.42,GGHATCH
376165,1,2018-04-05,CALVERT,HAKAI,ROCKY,2,ROCKY04,M,DO13C2284,0,1,-22.98,GGHATCH
376166,1,2018-04-05,CALVERT,HAKAI,ROCKY,3,ROCKY04,M,DO13C2285,0,1.046613333,-23.16,GGHATCH
378615,1,2018-04-20,CALVERT,HAKAI,ROCKY,3,ROCKY02,M,DO13C2297,0,0.785125,-22.86,GGHATCH
378613,1,2018-04-20,CALVERT,HAKAI,ROCKY,1,ROCKY02,M,DO13C2298,0,0.854486111,-23.09,GGHATCH
378614,1,2018-04-20,CALVERT,HAKAI,ROCKY,2,ROCKY02,M,DO13C2299,0,0.800708333,-22.88,GGHATCH
378774,1,2018-04-21,CALVERT,HAKAI,KWAK_PP;KWAK,2,PRUTH,M,DO13C2879,0,1.122152778,-24.57,GGHATCH
378774,1,2018-04-21,CALVERT,HAKAI,KWAK_PP;KWAK,2,PRUTH,M,DO13C2880,5,0.811097222,-23.71,GGHATCH
378774,1,2018-04-21,CALVERT,HAKAI,KWAK_PP;KWAK,2,PRUTH,M,DO13C2881,10,0.679861111,-23.73,GGHATCH
378982,1,2018-04-21,CALVERT,HAKAI,ROCKY,1,ROCKY04,M,DO13C2281,0,0.845,-23.19,GGHATCH
378984,1,2018-04-21,CALVERT,HAKAI,ROCKY,3,ROCKY04,M,DO13C2282,0,0.877,-22.76,GGHATCH
378983,1,2018-04-21,CALVERT,HAKAI,ROCKY,2,ROCKY04,M,DO13C3100,0,0.834625,-23.11,GGHATCH
379049,1,2018-04-22,CALVERT,HAKAI,QCS_V1,2,QCS01,M,DO13C2894,0,0.8415,-24.05,GGHATCH
379049,1,2018-04-22,CALVERT,HAKAI,QCS_V1,2,QCS01,M,DO13C2893,5,0.722180556,-23.94,GGHATCH
379769,1,2018-04-22,CALVERT,HAKAI,ROCKY,1,ROCKY05,M,DO13C2294,0,0.778708333,-23.68,GGHATCH
379771,1,2018-04-22,CALVERT,HAKAI,ROCKY,3,ROCKY05,M,DO13C2295,0,0.728138889,-23.69,GGHATCH
379770,1,2018-04-22,CALVERT,HAKAI,ROCKY,2,ROCKY05,M,DO13C2296,0,0.736541667,-23.65,GGHATCH
